Slanost,Temp_zraka,Temp_vode,Crijevni_enterokoki,Escherichia_coli,Suncevo_zracenje_DHMZ GHI,Padaline,KPad0h-24h,KPad25h-48h,KPad49h-72h,KPad3d-4d,KPad4d-7d,KPad7d-14d,KPad14d-30d,AirTemp,AlbedoDaily,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,KPad3d-6d,KPad6d-10d,KPad10d-17d,Kpad17d-21d,Padaline_1d_poslije 
32.13,25,22,780,16,764.56,0,0.2,37.7,0,0,33.5,4.3,1.8,22.17710164,0.11,-116.9857839,3.11692328,10.98455313,166.9547017,740.2341811,728.5061154,895.4513875,930.0388037,902.526692,19.98384348,49.21229468,979.4529534,155.3867349,1.969068388,23.41089532,30.5,3,4.3,3.1,0
30.15,27.1,24.2,52,72,431.78,0,0,0,0,0,0,83.3,21.5,25.30347626,0.11,-118.6019733,6.017260488,19.01223292,203.9018397,571.0391765,402.1920692,605.9246808,639.7067831,772.8274039,31.48012731,68.08898731,975.2668149,211.6903352,2.488202111,46.05414683,0,7.7,75.6,22.1,0
35.86,22,16,1,15,485.62,0,0,2.1,11.3,1.1,2.4,8.2,56.6,16.88023153,0.12,-115.6254947,22.37340651,9.727331351,376.6938843,282.0347915,226.9519739,603.6458582,588.6412825,656.5035806,18.77345124,65.38132967,973.3783099,24.84364638,2.017788884,35.07533971,3.5,4,4.2,75.6,0.4
30.49,22,18,46,2,600.37,0,0,0,0,0,4.1,16.9,8.2,21.55671254,0.12,-114.2323248,1.151621799,12.30452929,170.5307201,727.1879057,579.0881732,716.4804154,719.85492,901.0201053,20.85494827,55.64925245,978.8874149,184.2784342,1.087009322,38.52183916,3.7,13.8,7.5,59.3,0
34.72,24,21.7,70,55,101.76,0,0,0,2.3,0,47.6,41.8,10.1,22.69281433,0.11,-123.8602016,61.7812984,16.62142675,243.7666983,0,0,243.7664664,220.4334051,243.7656673,34.55387664,70.28185564,975.324532,177.4346982,3.959187024,41.32466653,41.7,47.7,0,44,11.6
35.59,24,23,1,0,466.23,0,0,0,0,0,0.5,98.9,4.4,25.10683945,0.11,-125.8314518,1.151621799,18.03960235,122.199765,751.1774095,486.8241034,721.8192831,722.2269395,828.6251715,19.88004805,64.90574866,974.8068835,201.5656399,1.087009322,49.67833031,0,12.1,91.7,6.8,0
35.8,37,26.5,4,15,655.64,0,0,0,0,0,0.5,98.9,4.4,28.2948216,0.11,115.5127927,3.130600282,15.8810879,129.5999873,626.7714867,348.7018805,488.1824957,559.0081989,769.8634699,22.19984429,47.14827035,973.1339024,229.1564259,4.315437988,56.74065546,0,12.1,91.7,6.8,0
36.51,23,21.3,0,0,580.16,0,0,1.1,0.1,0,9.3,13,33.7,17.80338723,0.11,-145.0039106,1.151621799,6.799189613,86.73955742,855.0471582,579.0881732,653.5136536,896.7558787,752.3025931,14.89337492,50.58800388,977.7991127,47.58873602,3.679964518,47.28022365,0,9.3,34.4,55.1,0
35.95,27,25.2,1,0,580.93,0,0,1.7,10.3,0,0.2,0,17.3,24.56544026,0.11,-115.6254947,1.151621799,13.08649014,111.7609084,708.8958981,579.0881732,677.2019821,709.0467105,878.7271291,31.60284386,48.78806511,978.3994004,46.1781907,1.693507968,43.45875942,0.2,0,0,17.3,0
36.4,27,21.5,1,0,492.49,0,0,0,0,0,56.5,22.2,0.2,23.68330435,0.11,-135.324737,0,16.50793045,196.5948555,581.2947257,388.4824398,585.9997493,629.1916582,776.9817678,28.82380412,65.38132967,977.2236992,67.74585013,1.473891289,46.47806798,56.5,0,22.2,0.2,2.5
37.33,24,23,75,11,425,0,0,18.3,0,0,0,28.5,67.4,18,0.11,-129,42.4,11.4,291,79,46,337,325,369,24.53509465,65.84021571,979.2,31,6,51,0,0,30.7,75.4,0
37.54,25,23.1,2,1,398.92,0,0,1.1,0.4,0,0,18.3,39.4,23.81864211,0.11,-130.8519349,20.69151706,16.9845217,308.8765273,197.1901098,112.6291929,421.437661,443.6188561,501.3465325,29.3243307,65.19427561,979.8931202,45.8271453,2.488202111,54.91696254,0,18.3,0,95.9,0
36.95,20.1,18.2,10,20,594.53,0,0,7.2,15.8,0,0,36.1,85.2,19.1732672,0.12,-115.6254947,1.151621799,10.19328872,129.5999873,781.3833917,580.0722606,717.7999371,725.3795467,914.7921972,20.72639795,56.54402672,979.8095078,50.37123066,1.848986784,42.47904405,0,15.6,21.1,84.6,0
36.07,25,19.7,42,86,355.13,0,0,0,0,0,0,20.2,51.9,19.56520831,0.12,-95.63895183,3.330210271,13.9623662,201.5657139,533.7905732,336.7957881,538.695666,485.2113895,776.5917274,25.95061299,70.25327896,975.2668149,65.95495512,3.137513615,47.28022365,0,0.1,35.9,51,0.4
37.42,26,22.3,0,0,503.46,0,0,0,3.6,0,0,19.2,20.2,21.23490706,0.11,-100.4453171,1.151621799,12.12682251,93.78543114,789.2884761,536.4722999,645.5090282,588.1941134,922.2844392,19.13198996,55.05561379,983.8075933,31.22105587,2.425447634,47.28022365,0,0,19.2,36,0
